Note: 


Addr	Number	Disass
40334c	1	cmp cl, 0x3
40334f	1	jz 0x403359
403351	1	test cl, cl
403353	1	jnz 0x403518
403359	1	xor eax, eax
40335b	1	cmp word ptr [rdx+0x12], 0x3e
403360	1	mov dword ptr [rbp+0x8], 0x1
403367	1	mov dword ptr [rbp+0xc], 0x1
40336e	1	jnz 0x403334
403370	1	xor eax, eax
403372	1	cmp word ptr [rdx+0x10], 0x3
403377	1	mov dword ptr [rbp+0x14], 0x0
40337e	1	setz al
403381	1	mov dword ptr [rbp+0x10], eax
403384	1	mov rax, qword ptr [rdx+0x20]
403388	1	add rdx, rax
40338b	1	xor esi, esi
40338d	1	mov rdi, rbp
403390	1	mov qword ptr [rbp+0x70], rdx
403394	1	call 0x403160
403399	1	mov esi, 0x1
40339e	1	mov rdi, rbp
4033a1	1	call 0x403160
4033a6	1	mov eax, dword ptr [rbp+0x8]
4033a9	1	test eax, eax
4033ab	1	jnz 0x4036f0
4033d9	1	test r13, r13
4033dc	1	jz 0x403630
4033e2	1	xor r12d, r12d
4033e5	1	jmp 0x403449
403405	26	and ecx, 0x7
403408	26	cmp ecx, 0x7
40340b	26	jz 0x4034a0
403411	27	mov rsi, rdx
403414	27	mov edi, 0x407c10
403419	27	mov ecx, 0x6
40341e	57	rep cmpsb byte ptr [rsi], byte ptr [rdi]
403420	27	jnz 0x403548
403426	1	mov qword ptr [rbp+0x58], r9
40342a	1	mov qword ptr [rbp+0x60], r8
40342e	27	lea rdx, ptr [rbx+0x28]
403432	27	add r12, 0x1
403436	27	add rbx, 0x40
40343a	27	test eax, eax
40343c	27	cmovz rbx, rdx
403440	27	cmp r13, r12
403443	27	jz 0x403630
403449	27	mov edx, dword ptr [rbx]
40344b	27	mov ecx, dword ptr [rbx+0x8]
40344e	27	add rdx, r14
403451	27	test eax, eax
403453	27	jz 0x4033f0
403455	27	mov esi, ecx
403457	27	mov rdi, qword ptr [rbx+0x10]
40345b	27	mov r8, qword ptr [rbx+0x20]
40345f	27	and esi, 0x3
403462	27	mov r9, qword ptr [rbx+0x18]
403466	27	cmp esi, 0x3
403469	27	jnz 0x403405
40346b	8	mov rsi, qword ptr [rbp+0x40]
40346f	8	mov r10, rsi
403472	8	add r10, qword ptr [rbp+0x38]
403476	8	cmp r10, rdi
403479	8	jz 0x403690
40347f	3	cmp r8, rsi
403482	3	jbe 0x403405
403484	1	and ecx, 0x7
403487	1	mov qword ptr [rbp+0x38], rdi
40348b	1	mov qword ptr [rbp+0x40], r8
40348f	1	cmp ecx, 0x7
403492	1	jnz 0x403411
403548	26	mov edi, 0x407c16
40354d	26	mov ecx, 0x9
403552	26	mov rsi, rdx
403555	66	rep cmpsb byte ptr [rsi], byte ptr [rdi]
403557	26	jnz 0x40342e
40355d	1	mov rdi, qword ptr [rbp+0x20]
403561	1	xor ecx, ecx
403563	1	add r9, rdi
403566	1	mov rdx, r9
403569	1	jmp 0x40359a
403580	6	test eax, eax
403582	6	jnz 0x403600
403596	5	add rcx, 0x1
40359a	6	test eax, eax
40359c	6	jz 0x403570
40359e	6	cmp qword ptr [rdx], 0x0
4035a2	6	setnz sil
4035a6	6	test sil, sil
4035a9	6	jnz 0x403580
4035b4	1	xor r15d, r15d
4035b7	1	jmp 0x4035eb
4035c9	21	test dl, dl
4035cb	21	jz 0x40342e
4035d1	20	test eax, eax
4035d3	20	jnz 0x4036a0
4035e7	20	add r15, 0x8
4035eb	21	test eax, eax
4035ed	21	jz 0x4035c0
4035ef	21	cmp qword ptr [r9+r15*2], 0x0
4035f4	21	setnz dl
4035f7	21	jmp 0x4035c9
403600	6	cmp qword ptr [rdx], 0x5
403604	6	setz sil
403608	6	add rdx, 0x10
40360c	6	test sil, sil
40360f	6	jz 0x403596
403611	1	test eax, eax
403613	1	jnz 0x403720
40361e	1	sub rdx, qword ptr [rbp+0x78]
403622	1	add rdx, rdi
403625	1	mov qword ptr [rsp+0x8], rdx
40362a	1	jmp 0x4035b4
403630	1	mov rax, qword ptr [rbp+0x38]
403634	1	test al, al
403636	1	jnz 0x403645
403645	1	mov rdx, qword ptr [rbp+0x48]
403649	1	mov eax, 0x1
40364e	1	test dl, dl
403650	1	jnz 0x403334
403656	1	mov rcx, qword ptr [rbp+0x50]
40365a	1	test rcx, rcx
40365d	1	jz 0x403334
403690	5	add rsi, r8
403693	5	mov qword ptr [rbp+0x40], rsi
403697	5	jmp 0x403405
4036a0	20	mov rdx, qword ptr [r9+r15*2]
4036a4	20	cmp rdx, 0x1
4036a8	20	jnz 0x4035e7
4036ae	1	test eax, eax
4036b0	1	jnz 0x4036e0
4036b7	1	add rsi, qword ptr [rsp+0x8]
4036bc	1	mov rdi, qword ptr [rbp+0x68]
4036c0	1	mov qword ptr [rsp], r9
4036c4	1	call 0x4039e0
4036c9	1	mov r9, qword ptr [rsp]
4036cd	1	mov qword ptr [rbp+0x68], rax
4036d1	1	mov eax, dword ptr [rbp+0x8]
4036d4	1	jmp 0x4035e7
4036e0	1	mov rsi, qword ptr [r9+r15*2+0x8]
4036e5	1	jmp 0x4036b7
4036f0	1	mov r14, qword ptr [rbp+0x20]
4036f4	1	movzx edx, word ptr [r14+0x3e]
4036f9	1	mov rbx, r14
4036fc	1	add rbx, qword ptr [r14+0x28]
403700	1	movzx r13d, word ptr [r14+0x3c]
403705	1	shl rdx, 0x6
403709	1	add rbx, rdx
40370c	1	add r14, qword ptr [rbx+0x18]
403710	1	sub rbx, rdx
403713	1	jmp 0x4033d9
403720	1	shl rcx, 0x4
403724	1	mov rdx, qword ptr [r9+rcx*1+0x8]
403729	1	jmp 0x40361e
403980	12	mov qword ptr [rsp-0x20], rbx
403985	12	mov qword ptr [rsp-0x18], rbp
40398a	12	mov rbx, rdi
40398d	12	mov qword ptr [rsp-0x10], r12
403992	12	mov qword ptr [rsp-0x8], r13
403997	12	mov rbp, rsi
40399a	12	sub rsp, 0x28
40399e	12	mov r12, rdx
4039a1	12	mov r13, rcx
4039a4	12	mov edi, 0x20
4039a9	12	call 0x4053b0
4039ae	12	mov qword ptr [rax], rbp
4039b1	12	mov qword ptr [rax+0x8], r13
4039b5	12	mov qword ptr [rax+0x10], r12
4039b9	12	mov qword ptr [rax+0x18], rbx
4039bd	12	mov rbp, qword ptr [rsp+0x10]
4039c2	12	mov rbx, qword ptr [rsp+0x8]
